v1	V(n001)	I(D1)	I(V1)
Step Information: Temp=27  (Run: 1/5)
8.000000000000000e-001	8.000000e-001	2.708183e-002	-2.708183e-002
8.100000000000001e-001	8.100000e-001	3.986452e-002	-3.986452e-002
8.200000000000001e-001	8.200000e-001	5.868066e-002	-5.868066e-002
8.300000000000001e-001	8.300000e-001	8.637807e-002	-8.637807e-002
8.400000000000001e-001	8.400000e-001	1.271487e-001	-1.271487e-001
8.500000000000001e-001	8.500000e-001	1.871632e-001	-1.871632e-001
8.600000000000001e-001	8.600000e-001	2.755046e-001	-2.755046e-001
8.700000000000001e-001	8.700000e-001	4.055434e-001	-4.055434e-001
8.800000000000001e-001	8.800000e-001	5.969608e-001	-5.969608e-001
8.900000000000001e-001	8.900000e-001	8.787277e-001	-8.787277e-001
9.000000000000001e-001	9.000000e-001	1.293489e+000	-1.293489e+000
9.100000000000001e-001	9.100000e-001	1.904019e+000	-1.904019e+000
9.200000000000002e-001	9.200000e-001	2.802720e+000	-2.802720e+000
9.300000000000002e-001	9.300000e-001	4.125611e+000	-4.125611e+000
9.400000000000002e-001	9.400000e-001	6.072908e+000	-6.072908e+000
9.500000000000002e-001	9.500000e-001	8.939335e+000	-8.939335e+000
9.600000000000002e-001	9.600000e-001	1.315872e+001	-1.315872e+001
9.700000000000002e-001	9.700000e-001	1.936967e+001	-1.936967e+001
9.800000000000002e-001	9.800000e-001	2.851219e+001	-2.851219e+001
9.900000000000002e-001	9.900000e-001	4.197001e+001	-4.197001e+001
1.000000000000000e+000	1.000000e+000	6.177995e+001	-6.177995e+001
Step Information: Temp=47  (Run: 2/5)
8.000000000000000e-001	8.000000e-001	6.948543e-002	-6.948543e-002
8.100000000000001e-001	8.100000e-001	9.984192e-002	-9.984192e-002
8.200000000000001e-001	8.200000e-001	1.434604e-001	-1.434604e-001
8.300000000000001e-001	8.300000e-001	2.061347e-001	-2.061347e-001
8.400000000000001e-001	8.400000e-001	2.961899e-001	-2.961899e-001
8.500000000000001e-001	8.500000e-001	4.255880e-001	-4.255880e-001
8.600000000000001e-001	8.600000e-001	6.115169e-001	-6.115169e-001
8.700000000000001e-001	8.700000e-001	8.786736e-001	-8.786736e-001
8.800000000000001e-001	8.800000e-001	1.262545e+000	-1.262545e+000
8.900000000000001e-001	8.900000e-001	1.814119e+000	-1.814119e+000
9.000000000000001e-001	9.000000e-001	2.606663e+000	-2.606663e+000
9.100000000000001e-001	9.100000e-001	3.745450e+000	-3.745450e+000
9.200000000000002e-001	9.200000e-001	5.381745e+000	-5.381745e+000
9.300000000000002e-001	9.300000e-001	7.732897e+000	-7.732897e+000
9.400000000000002e-001	9.400000e-001	1.111121e+001	-1.111121e+001
9.500000000000002e-001	9.500000e-001	1.596542e+001	-1.596542e+001
9.600000000000002e-001	9.600000e-001	2.294033e+001	-2.294033e+001
9.700000000000002e-001	9.700000e-001	3.296239e+001	-3.296239e+001
9.800000000000002e-001	9.800000e-001	4.736285e+001	-4.736285e+001
9.900000000000002e-001	9.900000e-001	6.805451e+001	-6.805451e+001
1.000000000000000e+000	1.000000e+000	9.778586e+001	-9.778586e+001
Step Information: Temp=67  (Run: 3/5)
8.000000000000000e-001	8.000000e-001	1.613528e-001	-1.613528e-001
8.100000000000001e-001	8.100000e-001	2.269550e-001	-2.269550e-001
8.200000000000001e-001	8.200000e-001	3.192295e-001	-3.192295e-001
8.300000000000001e-001	8.300000e-001	4.490206e-001	-4.490206e-001
8.400000000000001e-001	8.400000e-001	6.315816e-001	-6.315816e-001
8.500000000000001e-001	8.500000e-001	8.883677e-001	-8.883677e-001
8.600000000000001e-001	8.600000e-001	1.249557e+000	-1.249557e+000
8.700000000000001e-001	8.700000e-001	1.757597e+000	-1.757597e+000
8.800000000000001e-001	8.800000e-001	2.472193e+000	-2.472193e+000
8.900000000000001e-001	8.900000e-001	3.477329e+000	-3.477329e+000
9.000000000000001e-001	9.000000e-001	4.891127e+000	-4.891127e+000
9.100000000000001e-001	9.100000e-001	6.879743e+000	-6.879743e+000
9.200000000000002e-001	9.200000e-001	9.676883e+000	-9.676883e+000
9.300000000000002e-001	9.300000e-001	1.361127e+001	-1.361127e+001
9.400000000000002e-001	9.400000e-001	1.914529e+001	-1.914529e+001
9.500000000000002e-001	9.500000e-001	2.692931e+001	-2.692931e+001
9.600000000000002e-001	9.600000e-001	3.787812e+001	-3.787812e+001
9.700000000000002e-001	9.700000e-001	5.327847e+001	-5.327847e+001
9.800000000000002e-001	9.800000e-001	7.494022e+001	-7.494022e+001
9.900000000000002e-001	9.900000e-001	1.054091e+002	-1.054091e+002
1.000000000000000e+000	1.000000e+000	1.482660e+002	-1.482660e+002
Step Information: Temp=87  (Run: 4/5)
8.000000000000000e-001	8.000000e-001	3.445713e-001	-3.445713e-001
8.100000000000001e-001	8.100000e-001	4.755700e-001	-4.755700e-001
8.200000000000001e-001	8.200000e-001	6.563717e-001	-6.563717e-001
8.300000000000001e-001	8.300000e-001	9.059104e-001	-9.059104e-001
8.400000000000001e-001	8.400000e-001	1.250318e+000	-1.250318e+000
