time	V(vcc)	V(vin)
0.000000000000000e+000	9.000000e+000	0.000000e+000
9.999999717180685e-010	9.000000e+000	3.141593e-007
1.999999943436137e-009	9.000000e+000	6.283185e-007
9.912661229806624e-008	9.000000e+000	3.114204e-005
1.962532246526964e-007	9.000000e+000	6.165462e-005
2.933798370073265e-007	9.000000e+000	9.216606e-005
3.905064493619566e-007	9.000000e+000	1.226764e-004
4.876330617165867e-007	9.000000e+000	1.531855e-004
5.847596740712168e-007	9.000000e+000	1.836936e-004
6.818862864258467e-007	9.000000e+000	2.142004e-004
1.594535972487366e-006	9.000000e+000	5.006395e-004
2.731158176662992e-006	9.000000e+000	8.564160e-004
4.789958722684502e-006	9.000000e+000	1.495559e-003
8.907559814727524e-006	9.000000e+000	2.745678e-003
1.445187607126211e-005	9.000000e+000	4.348012e-003
2.067877635157238e-005	9.000000e+000	5.984869e-003
2.754543489676031e-005	9.000000e+000	7.510686e-003
3.546442290333864e-005	9.000000e+000	8.867884e-003
4.167340453925602e-005	9.000000e+000	9.614483e-003
4.477035619118668e-005	9.000000e+000	9.838160e-003
4.837612564079143e-005	9.000000e+000	9.951307e-003
5.239599347609322e-005	9.000000e+000	9.927221e-003
5.690001935361854e-005	9.000000e+000	9.687501e-003
6.420155596961432e-005	9.000000e+000	8.837779e-003
7.583155883926508e-005	9.000000e+000	6.651289e-003
8.778816208650951e-005	9.000000e+000	3.632915e-003
9.724764242195430e-005	9.000000e+000	8.445853e-004
1.060038729194951e-004	9.000000e+000	-1.839699e-003
1.147704217656222e-004	9.000000e+000	-4.388887e-003
1.237398584077033e-004	9.000000e+000	-6.656868e-003
1.324017296324711e-004	9.000000e+000	-8.394435e-003
1.388911898824132e-004	9.000000e+000	-9.340766e-003
1.426887957116673e-004	9.000000e+000	-9.708688e-003
1.458410202920860e-004	9.000000e+000	-9.890436e-003
1.489982675420821e-004	9.000000e+000	-9.966812e-003
1.526275707210006e-004	9.000000e+000	-9.924556e-003
1.572766477762170e-004	9.000000e+000	-9.656572e-003
1.648089823982646e-004	9.000000e+000	-8.744669e-003
1.767816910316812e-004	9.000000e+000	-6.439868e-003
1.882489909228456e-004	9.000000e+000	-3.507954e-003
1.976549060920375e-004	9.000000e+000	-7.198403e-004
2.064025898683349e-004	9.000000e+000	1.960361e-003
2.151584550844644e-004	9.000000e+000	4.495868e-003
2.241015292051125e-004	9.000000e+000	6.738812e-003
2.327531926011519e-004	9.000000e+000	8.455323e-003
2.390215394737924e-004	9.000000e+000	9.356958e-003
2.427856634997905e-004	9.000000e+000	9.715586e-003
2.459615003807238e-004	9.000000e+000	9.895832e-003
2.490251424177645e-004	9.000000e+000	9.968037e-003
2.526375677530957e-004	9.000000e+000	9.924435e-003
2.572929046587692e-004	9.000000e+000	9.655204e-003
2.648351874495205e-004	9.000000e+000	8.740580e-003
2.768226081624249e-004	9.000000e+000	6.430632e-003
2.882694065941665e-004	9.000000e+000	3.502436e-003
2.976655813234538e-004	9.000000e+000	7.165981e-004
3.064057342084798e-004	9.000000e+000	-1.961375e-003
3.151540402861088e-004	9.000000e+000	-4.494728e-003
3.240965225426958e-004	9.000000e+000	-6.737178e-003
3.327799416613788e-004	9.000000e+000	-8.460596e-003
3.389739431520351e-004	9.000000e+000	-9.352371e-003
3.427502848037048e-004	9.000000e+000	-9.713077e-003
3.459175009197845e-004	9.000000e+000	-9.893877e-003
3.490153261367431e-004	9.000000e+000	-9.967592e-003
3.526339163018123e-004	9.000000e+000	-9.924480e-003
3.572869667938907e-004	9.000000e+000	-9.655704e-003
3.648256161296554e-004	9.000000e+000	-8.742074e-003
3.768076640032673e-004	9.000000e+000	-6.434006e-003
3.882619449511229e-004	9.000000e+000	-3.504422e-003
3.976655822440975e-004	9.000000e+000	-7.165712e-004
4.064122432659414e-004	9.000000e+000	1.963286e-003
4.151670361825757e-004	9.000000e+000	4.498232e-003
4.241095890511518e-004	9.000000e+000	6.740626e-003
4.327611110488214e-004	9.000000e+000	8.456726e-003
4.390221517466480e-004	9.000000e+000	9.357085e-003
4.427861186667637e-004	9.000000e+000	9.715618e-003
4.459620664357493e-004	9.000000e+000	9.895857e-003
4.490252687167365e-004	9.000000e+000	9.968042e-003
4.526376147332917e-004	9.000000e+000	9.924435e-003
4.572929810562111e-004	9.000000e+000	9.655197e-003
4.648353105944986e-004	9.000000e+000	8.740561e-003
4.768228004292710e-004	9.000000e+000	6.430588e-003
4.882695026324575e-004	9.000000e+000	3.502404e-003
4.976662895938483e-004	9.000000e+000	7.163786e-004
5.064070402463497e-004	9.000000e+000	-1.961764e-003
5.151559386342705e-004	9.000000e+000	-4.495243e-003
5.240984046232607e-004	9.000000e+000	-6.737613e-003
5.327810595415465e-004	9.000000e+000	-8.460793e-003
5.389745512722942e-004	9.000000e+000	-9.352442e-003
5.427507367657562e-004	9.000000e+000	-9.713109e-003
5.459180630341798e-004	9.000000e+000	-9.893902e-003
5.490154515329596e-004	9.000000e+000	-9.967597e-003
5.526339629469525e-004	9.000000e+000	-9.924479e-003
5.572870426467555e-004	9.000000e+000	-9.655697e-003
5.648257383988485e-004	9.000000e+000	-8.742055e-003
5.768078549131242e-004	9.000000e+000	-6.433963e-003
5.882620402348194e-004	9.000000e+000	-3.504400e-003
5.976650400846068e-004	9.000000e+000	-7.167399e-004
6.064110963738798e-004	9.000000e+000	1.962944e-003
6.151652892215713e-004	9.000000e+000	4.497759e-003
6.241078676299066e-004	9.000000e+000	6.740240e-003
6.327593558672461e-004	9.000000e+000	8.456435e-003
6.390210143938773e-004	9.000000e+000	9.356956e-003
6.427852731537374e-004	9.000000e+000	9.715558e-003
6.459610149378660e-004	9.000000e+000	9.895811e-003
6.490250341053376e-004	9.000000e+000	9.968032e-003
6.526375274634566e-004	9.000000e+000	9.924436e-003
6.572928391412583e-004	9.000000e+000	9.655209e-003
6.648350818418742e-004	9.000000e+000	8.740596e-003
6.768224432765920e-004	9.000000e+000	6.430669e-003
6.882693242336248e-004	9.000000e+000	3.502448e-003
6.976667658007592e-004	9.000000e+000	7.162300e-004
7.064081302729616e-004	9.000000e+000	-1.962088e-003
7.151576381193054e-004	9.000000e+000	-4.495704e-003
7.241000723982967e-004	9.000000e+000	-6.737999e-003
7.327819410205405e-004	9.000000e+000	-8.460949e-003
7.389751173528557e-004	9.000000e+000	-9.352506e-003
7.427511574847712e-004	9.000000e+000	-9.713138e-003
7.459185862904567e-004	9.000000e+000	-9.893926e-003
7.490155682609894e-004	9.000000e+000	-9.967603e-003
7.526340063676744e-004	9.000000e+000	-9.924479e-003
7.572871132561692e-004	9.000000e+000	-9.655692e-003
7.648258522159640e-004	9.000000e+000	-8.742037e-003
7.768080326258752e-004	9.000000e+000	-6.433923e-003
7.882621289326825e-004	9.000000e+000	-3.504381e-003
7.976644846735564e-004	9.000000e+000	-7.169127e-004
8.064099292180520e-004	9.000000e+000	1.962597e-003
8.151635150732590e-004	9.000000e+000	4.497278e-003
8.241061321367212e-004	9.000000e+000	6.739852e-003
8.327575866038526e-004	9.000000e+000	8.456141e-003
8.390198839982290e-004	9.000000e+000	9.356827e-003
8.427844328178756e-004	9.000000e+000	9.715499e-003
8.459599698764214e-004	9.000000e+000	9.895765e-003
8.490248009311079e-004	9.000000e+000	9.968021e-003
8.526374407281811e-004	9.000000e+000	9.924437e-003
8.572926980955739e-004	9.000000e+000	9.655221e-003
8.648348544903337e-004	9.000000e+000	8.740632e-003
8.768220883109727e-004	9.000000e+000	6.430749e-003
8.882691469306343e-004	9.000000e+000	3.502491e-003
8.976672507343251e-004	9.000000e+000	7.160787e-004
9.064092364619965e-004	9.000000e+000	-1.962417e-003
9.151593611350309e-004	9.000000e+000	-4.496171e-003
9.241017601056446e-004	9.000000e+000	-6.738390e-003
9.327828837283567e-004	9.000000e+000	-8.461115e-003
9.389756980368933e-004	9.000000e+000	-9.352573e-003
9.427515890586524e-004	9.000000e+000	-9.713169e-003
9.459191230466185e-004	9.000000e+000	-9.893949e-003
9.490156880008386e-004	9.000000e+000	-9.967608e-003
9.526340509087301e-004	9.000000e+000	-9.924478e-003
9.572871856874315e-004	9.000000e+000	-9.655686e-003
9.648259689697405e-004	9.000000e+000	-8.742019e-003
9.768082149237761e-004	9.000000e+000	-6.433882e-003
9.882622199199158e-004	9.000000e+000	-3.504361e-003
9.976639228228739e-004	9.000000e+000	-7.170875e-004
1.006408747425140e-003	9.000000e+000	1.962245e-003
1.015161718149268e-003	9.000000e+000	4.496790e-003
1.024104373582940e-003	9.000000e+000	6.739458e-003
1.032755800541388e-003	9.000000e+000	8.455843e-003
1.039018771364241e-003	9.000000e+000	9.356700e-003
1.042783605691100e-003	9.000000e+000	9.715441e-003
1.045958941240167e-003	9.000000e+000	9.895720e-003
1.049024571422703e-003	9.000000e+000	9.968011e-003
1.052637355356474e-003	9.000000e+000	9.924438e-003
1.057292559267261e-003	9.000000e+000	9.655233e-003
1.064834630712887e-003	9.000000e+000	8.740667e-003
1.076821738925165e-003	9.000000e+000	6.430828e-003
1.088268972418030e-003	9.000000e+000	3.502534e-003
1.097667746726720e-003	9.000000e+000	7.159241e-004
1.106410361911628e-003	9.000000e+000	-1.962752e-003
1.115161111531593e-003	9.000000e+000	-4.496646e-003
1.124103475788210e-003	9.000000e+000	-6.738786e-003
1.132783897548263e-003	9.000000e+000	-8.461293e-003
1.138976297096956e-003	9.000000e+000	-9.352642e-003
1.142752034291338e-003	9.000000e+000	-9.713201e-003
1.145919676789928e-003	9.000000e+000	-9.893974e-003
1.149015811530471e-003	9.000000e+000	-9.967613e-003
1.152634096859507e-003	9.000000e+000	-9.924477e-003
1.157287260411135e-003	9.000000e+000	-9.655680e-003
1.164826089418736e-003	9.000000e+000	-8.742000e-003
1.176808402991220e-003	9.000000e+000	-6.433839e-003
1.188262313787740e-003	9.000000e+000	-3.504341e-003
1.197663354208879e-003	9.000000e+000	-7.172644e-004
1.206407549844247e-003	9.000000e+000	1.961889e-003
1.215159896475801e-003	9.000000e+000	4.496295e-003
1.224102590011139e-003	9.000000e+000	6.739059e-003
1.232753989541972e-003	9.000000e+000	8.455541e-003
1.239017669035883e-003	9.000000e+000	9.356574e-003
1.242782786230444e-003	9.000000e+000	9.715382e-003
1.245957922135799e-003	9.000000e+000	9.895674e-003
1.249024344042055e-003	9.000000e+000	9.968000e-003
1.252637270776210e-003	9.000000e+000	9.924440e-003
1.257292421725953e-003	9.000000e+000	9.655245e-003
1.264834409009879e-003	9.000000e+000	8.740702e-003
1.276821392777759e-003	9.000000e+000	6.430906e-003
1.288268799526193e-003	9.000000e+000	3.502576e-003
